,user_id,item_id,30,120,480,item_text,speaker,party,state,context,subject,job,date
0,2,15,0.6,0.65,0.7,Rhode Islands exports have increased by 53 percent in the last two years.,Lisa Tomasso,Democrat,Rhode Island,A news release.,"Economy, States, Trade",State representative,2012-04-05
1,2,22,0.6,0.8,,"I am very proud, as governor of Florida, that we signed the first divestment act, as it relates to Iran, divesting any investments in companies that would invest in Iran.",Charlie Crist,Democrat,Florida,A u.s. senate debate on cnnâs âstate of the union.â.,"Florida, Foreign-policy",,2010-10-24
2,2,24,0.25,0.25,,"An audit of the last census found that over 370,000 people living in Texas were not counted, and our state lost an estimated $1 billion in federal funds as a result.",Silvestre Reyes,Democrat,Texas,An e-mail blast.,Census,U.s. house member,2010-03-11
3,2,29,0.3,,,"For the first time in U.S. history, a personal inaction will be deemed unlawful -- not purchasing a health-insurance plan",Ron Johnson,Republican,Wisconsin,An opinion piece in the wall street journal.,Health-care,,2011-03-23
4,2,30,0.5,0.1,,Amendment 1 protects Florida seniors from scams and rip-offs.,Consumers Smart Solar,Other,,A web ad.,"Energy, Florida-amendments",,2016-10-19
5,2,41,0.5,0.4,0.4,Marco Rubio says Solo Ingles (English only).,Kendrick Meek,Democrat,Florida,A web ad.,Immigration,,2010-10-15
6,2,43,0.4,0.4,0.4,The tuitions in Virginia colleges...have doubled -- 100 percent -- in the last 10 years.,Bob Mcdonnell,Republican,Virginia,Nan.,Education,Governor,2010-11-30
7,2,50,0.5,,,"The signers of the Declaration of Independence were ""brave people, most of whom, by the way, were clergymen.""",Mike Huckabee,Republican,Arkansas,Orlando.,Religion,Author,2007-10-21
8,2,59,0.5,,,The majority of the Hispanic population and the growth (of the population) is U.S.-born.,Jose Diaz Balart,Other,,"A pundit panel segment on ""meet the press"".",Immigration,,2015-07-26
9,2,60,0.4,0.4,0.4,I have never asked for more than inflationary budget increases in his 10 budgets as Milwaukee County sheriff,David Clarke Jr,Democrat,Wisconsin,A radio interview.,"County-budget, Criminal-justice",Milwaukee county sheriff,2011-09-30
10,2,62,0.65,,,The Koch brothers want to protect tax cuts for companies that ship our jobs overseas.,Senate Majority Pac,Democrat,"Washington, D.C. ",A campaign ad.,"Congress, Economy, Jobs, Taxes",Political action committee,2014-03-13
11,2,66,0.1,,,You must list all your guns on your 2010 tax return.,Chain Email,Other,,An e-mail circulated to many people.,"Guns, Taxes",,2009-11-01
12,2,80,0.6,,,The federal government is the largest energy user in the country.,Rob Portman,Republican,Ohio,A newspaper column.,Energy,U.s. senator from ohio,2011-08-28
13,2,82,0.15,,,The congressional ethics investigation against me was conducted by a very partisan political committee in a way that related more to the politics of the Democratic Party than to ethics.,Newt Gingrich,Republican,Georgia,An interview with fox news' greta van susteren.,"Bipartisanship, Ethics","Co-host on cnn's ""crossfire""",2011-12-06
14,2,84,0.75,0.6,0.6,There are a lot of casinos across the country that have gone bankrupt.,Robert Jacquard,Democrat,Rhode Island,A speech.,"Bankruptcy, Economy, Gambling, State-budget, State-finances, States",State representative,2012-03-06
15,2,85,0.15,,,"By allowing brewpubs to sell beer, Georgia could become like Mexico with only a couple of manufacturers controlling all aspects of market.",Martin Smith,Other,Georgia,Subcommittee hearing.,"Alcohol, State-finances",Lobbyist,2015-03-23
