quantity_id,Quantity,Value,Difficulty,Category
0,number of US states,50.0,1.0,geography
1,length of American football field in yards,100.0,1.0,stadiums
2,number of Olympic rings,5.0,1.0,olympic rings
3,number of continents,7.0,1.0,geography
4,number of hours in a week,168.0,1.0,time calculation
5,number of planets in the solar system,8.0,1.0,solar system
6,number of players (both teams) on the court in basketball,10.0,1.0,basketball
7,number of letters in the English alphabet,26.0,1.0,english alphabet
8,drinking age in the US,21.0,1.0,us laws
9,number of seconds in a minute,60.0,1.0,time
10,number of degrees in a right angle,90.0,1.0,geometry
11,number of legs on a spider,8.0,1.0,zoology
12,number of oceans on Earth,5.0,2.0,geography
13,boiling point of water in degrees Fahrenheit,212.0,2.0,chemistry
14,average weight of US adult male in pounds,196.0,2.0,us demographics
15,number of days in a fortnight,14.0,2.0,time
16,percent of Earth's surface covered in water,71.0,2.0,geography
17,total World Cup goals scored by Lionel Messi,10.0,2.0,football
18,length of marathon in miles,26.22,3.0,track and field
19,height of Eiffel tower in feet,984.0,3.0,building
20,weight of $100 worth of quarters in pounds ,5.0,3.0,weight
21,age of oldest known living animal,184.0,3.0,zoology
22,hottest temperature recorded on Earth in degrees Celsius,54.0,3.0,temperature
23,number of calories in a glass of whole milk,148.0,3.0,chemistry
24,world land speed record in miles per hour,763.0,3.0,motorsport
25,number of Wimbledons won by Roger Federer,8.0,3.0,tennis
26,maximum points scored in an NBA game by one player,100.0,3.0,basketball
27,number of books in the New Testament,27.0,3.0,literature
28,number of cookies in a standard sized Oreo package,45.0,3.0,food
29,half the capacity of the largest US college football stadium,54950.0,3.0,stadiums
30,diameter of red blood cell in microns,7.0,4.0,biology
31,distance to Proxima Centauri (closest star) in light-years,4.0,4.0,astronomy
32,time for light to travel from Sun to Earth in seconds,500.0,4.0,astronomy
33,number of entries in the Oxford English Dictionary,171000.0,4.0,languages
34,temperature of Sun's surface in degrees Kelvin,5778.0,4.0,temperature
35,number of ants in largest known colony,306000000.0,5.0,zoology
36,surface area of the moon in square miles,14600000.0,5.0,astronomy
37,mass of a cubic meter of air in grams,1293.0,5.0,chemistry
